3,7,8,9,12,13,14,17,18,19,25
1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,1,0,1,0
0,1,0,1,1,1,1,0,0,0,1
1,1,0,0,0,1,0,0,1,1,0
1,1,0,1,0,1,0,1,0,0,1
0,1,1,0,0,1,1,0,1,0,0
0,0,1,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,1,0,1,0
0,0,0,1,1,1,1,1,0,1,0
0,1,1,1,0,1,0,0,1,1,1
1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,1,1,0,0,0,1,0
0,0,0,0,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,1,0,1,1,0,0,1
0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,1,1,0,1
0,1,1,1,1,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,1,1,1,0,1
0,1,1,1,0,1,1,1,0,0,0
1,0,0,1,1,1,1,0,1,1,1
0,1,1,0,0,0,1,1,0,0,0
1,0,1,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,1,0
0,0,0,0,1,0,1,1,0,1,1
1,0,1,0,0,0,1,1,1,1,0
0,0,1,0,0,1,0,1,0,1,0
1,1,0,0,1,0,1,1,0,0,0
0,0,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,0,0,1,0
1,0,1,1,0,1,0,0,1,1,1
0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,1,0,1,0,0,1
1,1,0,0,1,0,0,1,0,0,1
1,1,0,0,1,0,0,0,0,1,1
1,1,1,0,0,0,1,1,0,1,0
1,1,0,1,0,0,1,1,0,1,1
1,1,0,1,1,0,1,0,1,0,0
1,1,0,1,0,1,1,1,0,0,0
0,0,0,0,0,1,0,1,0,0,1
1,1,1,1,0,0,0,1,0,1,0
0,1,0,1,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,0,1,1,0,0,1,0
0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,1,1,1,1,0,1,0
1,0,1,0,1,1,1,0,1,0,0
1,1,0,1,0,1,1,1,1,1,0
